stationId,linkId,numberOfQueues,rechargeRate,min Distance, x-coord,y-coord
Station_228,588280,1,38.4,2.2288089761038066,2694078,1218353
Station_229,398352,1,38.4,4.236905074857006,2687055,1263596
Station_231,96784,1,38.4,0.9790342809743038,2678014,1253710
Station_232,116181,1,38.4,1.8371563091603207,2677458,1259710
Station_233,298092,1,38.4,1.5982571096688787,2699190,1221750
Station_234,7777,1,38.4,7.274138540136107,2682528,1248888
Station_235,239555,1,38.4,6.600815092057303,2694440,1228797
Station_236,452784,1,38.4,5.394220917721057,2687364,1256159
Station_237,256040,1,38.4,8.303981178329558,2679923,1250411
Station_238,661701,1,38.4,2.0718490698487386,2663940,1268730
Station_239,100355,1,38.4,9.93627579969916,2680026,1249031
Station_240,734487,1,38.4,1.590586900202311,2660481,1259505
Station_241,274161,1,38.4,25.490499632936064,2673199,1249600
Station_242,448354,1,38.4,5.113196368610176,2663411,1244669
Station_243,300961,1,38.4,1.6978511203546987E-4,2678681,1227157
Station_246,630571,1,38.4,2.555348582767408,2679817,1248738
Station_248,253656,1,38.4,3.0760999314487947,2693658,1249401
Station_251,147277,1,38.4,0.6562566466222961,2681553,1269418
Station_252,495327,1,38.4,22.0441118395852,2682303,1247530
Station_253,206980,1,38.4,1.0351481447830508,2668954,1244241
Station_254,952314,1,38.4,3.2974773760508747,2699248,1249355
Station_255,533552,1,38.4,1.5170805882063192,2683873,1251061
